GENOA	B-NONE

The	B-DESCRIPTIVE
stone	I-DESCRIPTIVE
of	I-DESCRIPTIVE
which	I-DESCRIPTIVE
the	I-DESCRIPTIVE
temple	I-DESCRIPTIVE
is	I-DESCRIPTIVE
built	I-DESCRIPTIVE

is	B-DESCRIPTIVE
a	I-DESCRIPTIVE
kind	I-DESCRIPTIVE
of	I-DESCRIPTIVE
travertine	I-DESCRIPTIVE
,	I-DESCRIPTIVE

to	B-DESCRIPTIVE
which	I-DESCRIPTIVE
the	I-DESCRIPTIVE
passing	I-DESCRIPTIVE
years	I-DESCRIPTIVE
have	I-DESCRIPTIVE
imparted	I-DESCRIPTIVE
a	I-DESCRIPTIVE
creamy	I-DESCRIPTIVE
,	I-DESCRIPTIVE
mellow	I-DESCRIPTIVE
tone	I-DESCRIPTIVE
.	I-DESCRIPTIVE

The	B-DESCRIPTIVE
Temple	I-DESCRIPTIVE
of	I-DESCRIPTIVE
Ceres	I-DESCRIPTIVE
is	I-DESCRIPTIVE
less	I-DESCRIPTIVE
complete	I-DESCRIPTIVE
than	I-DESCRIPTIVE
that	I-DESCRIPTIVE
dedicated	I-DESCRIPTIVE
to	I-DESCRIPTIVE
Neptune	I-DESCRIPTIVE
,	I-DESCRIPTIVE

although	B-DESCRIPTIVE
it	I-DESCRIPTIVE
belongs	I-DESCRIPTIVE
to	I-DESCRIPTIVE
the	I-DESCRIPTIVE
same	I-DESCRIPTIVE
period	I-DESCRIPTIVE
.	I-DESCRIPTIVE

The	B-ARGUMENTATIVE
gate	I-ARGUMENTATIVE
of	I-ARGUMENTATIVE
the	I-ARGUMENTATIVE
town	I-ARGUMENTATIVE
opening	I-ARGUMENTATIVE
out	I-ARGUMENTATIVE
toward	I-ARGUMENTATIVE
the	I-ARGUMENTATIVE
sea	I-ARGUMENTATIVE
and	I-ARGUMENTATIVE
the	I-ARGUMENTATIVE
old	I-ARGUMENTATIVE
wall	I-ARGUMENTATIVE
adjoining	I-ARGUMENTATIVE
it	I-ARGUMENTATIVE
are	I-ARGUMENTATIVE
wonderfully	I-ARGUMENTATIVE
preserved	I-ARGUMENTATIVE
.	I-ARGUMENTATIVE

These	B-DESCRIPTIVE
with	I-DESCRIPTIVE
the	I-DESCRIPTIVE
temples	I-DESCRIPTIVE
of	I-DESCRIPTIVE
Neptune	I-DESCRIPTIVE
and	I-DESCRIPTIVE
Ceres	I-DESCRIPTIVE
and	I-DESCRIPTIVE
the	I-DESCRIPTIVE
so-called	I-DESCRIPTIVE
Basilica	I-DESCRIPTIVE
are	I-DESCRIPTIVE
all	I-DESCRIPTIVE
that	I-DESCRIPTIVE
remain	I-DESCRIPTIVE
of	I-DESCRIPTIVE
this	I-DESCRIPTIVE
settlement	I-DESCRIPTIVE
made	I-DESCRIPTIVE
by	I-DESCRIPTIVE
Greeks	I-DESCRIPTIVE
from	I-DESCRIPTIVE
Sybaris	I-DESCRIPTIVE
about	I-DESCRIPTIVE
600	I-DESCRIPTIVE
B.C.	I-DESCRIPTIVE

Two	B-NARRATIVE
days	I-NARRATIVE
we	I-NARRATIVE
have	I-NARRATIVE
passed	I-NARRATIVE
with	I-NARRATIVE
the	I-NARRATIVE
ancients	I-NARRATIVE
,	I-NARRATIVE

yesterday	B-DESCRIPTIVE
in	I-DESCRIPTIVE
a	I-DESCRIPTIVE
city	I-DESCRIPTIVE
where	I-DESCRIPTIVE
"	I-DESCRIPTIVE
the	I-DESCRIPTIVE
earth	I-DESCRIPTIVE
,	I-DESCRIPTIVE
with	I-DESCRIPTIVE
faithful	I-DESCRIPTIVE
watch	I-DESCRIPTIVE
,	I-DESCRIPTIVE
has	I-DESCRIPTIVE
hoarded	I-DESCRIPTIVE
all	I-DESCRIPTIVE
,	I-DESCRIPTIVE
"	I-DESCRIPTIVE

and	B-DESCRIPTIVE
to-day	I-DESCRIPTIVE
in	I-DESCRIPTIVE
a	I-DESCRIPTIVE
town	I-DESCRIPTIVE
not	I-DESCRIPTIVE
much	I-DESCRIPTIVE
older	I-DESCRIPTIVE
than	I-DESCRIPTIVE
Pompeii	I-DESCRIPTIVE
,	I-DESCRIPTIVE
where	I-DESCRIPTIVE
the	I-DESCRIPTIVE
conquering	I-DESCRIPTIVE
Saracens	I-DESCRIPTIVE
and	I-DESCRIPTIVE
Normans	I-DESCRIPTIVE
and	I-DESCRIPTIVE
the	I-DESCRIPTIVE
devastating	I-DESCRIPTIVE
elements	I-DESCRIPTIVE
have	I-DESCRIPTIVE
left	I-DESCRIPTIVE
nothing	I-DESCRIPTIVE

to	B-DESCRIPTIVE
tell	I-DESCRIPTIVE
the	I-DESCRIPTIVE
tale	I-DESCRIPTIVE
of	I-DESCRIPTIVE
the	I-DESCRIPTIVE
daily	I-DESCRIPTIVE
life	I-DESCRIPTIVE
and	I-DESCRIPTIVE
habits	I-DESCRIPTIVE
of	I-DESCRIPTIVE
the	I-DESCRIPTIVE
Greeks	I-DESCRIPTIVE

who	B-DESCRIPTIVE
made	I-DESCRIPTIVE
their	I-DESCRIPTIVE
home	I-DESCRIPTIVE
upon	I-DESCRIPTIVE
these	I-DESCRIPTIVE
shores	I-DESCRIPTIVE
.	I-DESCRIPTIVE

We	B-NARRATIVE
climbed	I-NARRATIVE
over	I-NARRATIVE
the	I-NARRATIVE
ruins	I-NARRATIVE
of	I-NARRATIVE
the	I-NARRATIVE
old	I-NARRATIVE
temples	I-NARRATIVE

and	B-NARRATIVE
sat	I-NARRATIVE
upon	I-NARRATIVE
the	I-NARRATIVE
town	I-NARRATIVE
wall	I-NARRATIVE
overlooking	I-NARRATIVE
the	I-NARRATIVE
sea	I-NARRATIVE
,	I-NARRATIVE

while	B-NARRATIVE
Angela	I-NARRATIVE
made	I-NARRATIVE
a	I-NARRATIVE
fairly	I-NARRATIVE
good	I-NARRATIVE
sketch	I-NARRATIVE
of	I-NARRATIVE
the	I-NARRATIVE
temples	I-NARRATIVE
.	I-NARRATIVE

Zelphine	B-NARRATIVE
and	I-NARRATIVE
I	I-NARRATIVE
bought	I-NARRATIVE
coins	I-NARRATIVE
and	I-NARRATIVE
pottery	I-NARRATIVE
from	I-NARRATIVE
children	I-NARRATIVE
who	I-NARRATIVE
,	I-NARRATIVE

being	B-DESCRIPTIVE
without	I-DESCRIPTIVE
visible	I-DESCRIPTIVE
habitation	I-DESCRIPTIVE
,	I-DESCRIPTIVE

seemed	I-NARRATIVE

to	B-NARRATIVE
have	I-NARRATIVE
literally	I-NARRATIVE
sprung	I-NARRATIVE
from	I-NARRATIVE
the	I-NARRATIVE
soil	I-NARRATIVE
.	I-NARRATIVE

Finally	B-NARRATIVE
our	I-NARRATIVE
vetturino	I-NARRATIVE
warned	I-NARRATIVE
us	I-NARRATIVE

that	B-NARRATIVE
we	I-NARRATIVE
had	I-NARRATIVE
better	I-NARRATIVE
set	I-NARRATIVE
forth	I-NARRATIVE
at	I-NARRATIVE
once	I-NARRATIVE

if	B-NARRATIVE
we	I-NARRATIVE
wished	I-NARRATIVE
to	I-NARRATIVE
reach	I-NARRATIVE
Cava	I-NARRATIVE
before	I-NARRATIVE
nightfall	I-NARRATIVE
.	I-NARRATIVE

At	B-NARRATIVE
Battipaglia	I-NARRATIVE
we	I-NARRATIVE
resumed	I-NARRATIVE
our	I-NARRATIVE
former	I-NARRATIVE
horses	I-NARRATIVE
and	I-NARRATIVE
driver	I-NARRATIVE
.	I-NARRATIVE

Zelphine	B-NARRATIVE
whispered	I-NARRATIVE
something	I-NARRATIVE
to	I-NARRATIVE
me	I-NARRATIVE

about	B-DESCRIPTIVE
his	I-DESCRIPTIVE
face	I-DESCRIPTIVE
being	I-DESCRIPTIVE
rather	I-DESCRIPTIVE
red	I-DESCRIPTIVE
.	I-DESCRIPTIVE

I	B-NARRATIVE
quite	I-NARRATIVE
agreed	I-NARRATIVE
with	I-NARRATIVE
her	I-NARRATIVE
,	I-NARRATIVE

but	B-NARRATIVE
as	I-NARRATIVE
the	I-NARRATIVE
mention	I-NARRATIVE
of	I-NARRATIVE
the	I-NARRATIVE
fact	I-NARRATIVE
could	I-NARRATIVE
not	I-NARRATIVE
be	I-NARRATIVE
of	I-NARRATIVE
any	I-NARRATIVE
especial	I-NARRATIVE
advantage	I-NARRATIVE
,	I-NARRATIVE

the	B-NARRATIVE
other	I-NARRATIVE
carriage	I-NARRATIVE
being	I-NARRATIVE
already	I-NARRATIVE
far	I-NARRATIVE
in	I-NARRATIVE
advance	I-NARRATIVE

and	B-NARRATIVE
no	I-NARRATIVE
person	I-NARRATIVE
at	I-NARRATIVE
hand	I-NARRATIVE
to	I-NARRATIVE
take	I-NARRATIVE
the	I-NARRATIVE
reins	I-NARRATIVE
,	I-NARRATIVE

there	B-NARRATIVE
was	I-NARRATIVE
nothing	I-NARRATIVE
to	I-NARRATIVE
do	I-NARRATIVE

but	B-NARRATIVE
to	I-NARRATIVE
set	I-NARRATIVE
forth	I-NARRATIVE
on	I-NARRATIVE
our	I-NARRATIVE
homeward	I-NARRATIVE
journey	I-NARRATIVE
,	I-NARRATIVE
despite	I-NARRATIVE
some	I-NARRATIVE
misgivings	I-NARRATIVE
upon	I-NARRATIVE
Zelphine	I-NARRATIVE
's	I-NARRATIVE
part	I-NARRATIVE
and	I-NARRATIVE
mine	I-NARRATIVE
.	I-NARRATIVE

We	B-NARRATIVE
had	I-NARRATIVE
not	I-NARRATIVE
left	I-NARRATIVE
Battipaglia	I-NARRATIVE

before	B-NARRATIVE
I	I-NARRATIVE
realized	I-NARRATIVE

that	B-NARRATIVE
our	I-NARRATIVE
gravest	I-NARRATIVE
fears	I-NARRATIVE
were	I-NARRATIVE
fulfilled	I-NARRATIVE
.	I-NARRATIVE

Our	B-ARGUMENTATIVE
driver	I-ARGUMENTATIVE
was	I-ARGUMENTATIVE
what	I-ARGUMENTATIVE
you	I-ARGUMENTATIVE
men	I-ARGUMENTATIVE
picturesquely	I-ARGUMENTATIVE
call	I-ARGUMENTATIVE
"	I-ARGUMENTATIVE
gloriously	I-ARGUMENTATIVE
drunk	I-ARGUMENTATIVE
"	I-ARGUMENTATIVE
-	I-ARGUMENTATIVE

we	B-ARGUMENTATIVE
practical	I-ARGUMENTATIVE
women	I-ARGUMENTATIVE
would	I-ARGUMENTATIVE
use	I-ARGUMENTATIVE
a	I-ARGUMENTATIVE
less	I-ARGUMENTATIVE
dignified	I-ARGUMENTATIVE
adverb	I-ARGUMENTATIVE
.	I-ARGUMENTATIVE

He	B-ARGUMENTATIVE
was	I-ARGUMENTATIVE
as	I-ARGUMENTATIVE
happy	I-ARGUMENTATIVE
as	I-ARGUMENTATIVE
a	I-ARGUMENTATIVE
lord	I-ARGUMENTATIVE
,	I-ARGUMENTATIVE

cracking	B-NARRATIVE
his	I-NARRATIVE
whip	I-NARRATIVE

and	B-NARRATIVE
dashing	I-NARRATIVE
through	I-NARRATIVE
the	I-NARRATIVE
streets	I-NARRATIVE
of	I-NARRATIVE
Battipaglia	I-NARRATIVE
in	I-NARRATIVE
fine	I-NARRATIVE
style	I-NARRATIVE
.	I-NARRATIVE

We	B-NARRATIVE
soon	I-NARRATIVE
passed	I-NARRATIVE
the	I-NARRATIVE
other	I-NARRATIVE
coach	I-NARRATIVE
,	I-NARRATIVE
containing	I-NARRATIVE
Mrs.	I-NARRATIVE
Coxe	I-NARRATIVE
's	I-NARRATIVE
friends	I-NARRATIVE
.	I-NARRATIVE

They	B-NARRATIVE
called	I-NARRATIVE
after	I-NARRATIVE
us	I-NARRATIVE
,	I-NARRATIVE

but	B-NARRATIVE
must	I-NARRATIVE
have	I-NARRATIVE
seen	I-NARRATIVE

that	B-NARRATIVE
we	I-NARRATIVE
had	I-NARRATIVE
no	I-NARRATIVE
time	I-NARRATIVE
for	I-NARRATIVE
conversation	I-NARRATIVE
en	I-NARRATIVE
route	I-NARRATIVE
;	I-NARRATIVE

indeed	B-NARRATIVE
,	I-NARRATIVE
like	I-NARRATIVE
Cowper	I-NARRATIVE
's	I-NARRATIVE
citizen	I-NARRATIVE
"	I-NARRATIVE
of	I-NARRATIVE
credit	I-NARRATIVE
and	I-NARRATIVE
renown	I-NARRATIVE
,	I-NARRATIVE
"	I-NARRATIVE
we	I-NARRATIVE
passed	I-NARRATIVE
everything	I-NARRATIVE
on	I-NARRATIVE
the	I-NARRATIVE
road	I-NARRATIVE
.	I-NARRATIVE

Zelphine	B-NARRATIVE
and	I-NARRATIVE
I	I-NARRATIVE
were	I-NARRATIVE
on	I-NARRATIVE
the	I-NARRATIVE
front	I-NARRATIVE
seat	I-NARRATIVE
,	I-NARRATIVE

facing	B-NARRATIVE
Mrs.	I-NARRATIVE
Coxe	I-NARRATIVE
and	I-NARRATIVE
Angela	I-NARRATIVE
.	I-NARRATIVE

They	B-NARRATIVE
,	I-NARRATIVE
happily	I-NARRATIVE
,	I-NARRATIVE
did	I-NARRATIVE
not	I-NARRATIVE
grasp	I-NARRATIVE
the	I-NARRATIVE
situation	I-NARRATIVE
at	I-NARRATIVE
once	I-NARRATIVE
,	I-NARRATIVE

but	B-NARRATIVE
when	I-NARRATIVE
they	I-NARRATIVE
did	I-NARRATIVE

the	B-NARRATIVE
terror	I-NARRATIVE
written	I-NARRATIVE
on	I-NARRATIVE
that	I-NARRATIVE
dear	I-NARRATIVE
old	I-NARRATIVE
lady	I-NARRATIVE
's	I-NARRATIVE
face	I-NARRATIVE
was	I-NARRATIVE
something	I-NARRATIVE

never	B-NARRATIVE
to	I-NARRATIVE
be	I-NARRATIVE
forgotten	I-NARRATIVE
.	I-NARRATIVE

Angela	B-NARRATIVE
,	I-NARRATIVE
with	I-NARRATIVE
resolute	I-NARRATIVE
cheerfulness	I-NARRATIVE
,	I-NARRATIVE
chatted	I-NARRATIVE
away	I-NARRATIVE
about	I-NARRATIVE
anything	I-NARRATIVE
and	I-NARRATIVE
everything	I-NARRATIVE
,	I-NARRATIVE
especially	I-NARRATIVE
about	I-NARRATIVE
Mrs.	I-NARRATIVE
Coxe	I-NARRATIVE
's	I-NARRATIVE
experiences	I-NARRATIVE
in	I-NARRATIVE
Honolulu	I-NARRATIVE
,	I-NARRATIVE
her	I-NARRATIVE
favorite	I-NARRATIVE
subject	I-NARRATIVE
of	I-NARRATIVE
conversation	I-NARRATIVE
.	I-NARRATIVE

I	B-ARGUMENTATIVE
shall	I-ARGUMENTATIVE
never	I-ARGUMENTATIVE
hear	I-ARGUMENTATIVE
of	I-ARGUMENTATIVE
that	I-ARGUMENTATIVE
island	I-ARGUMENTATIVE
kingdom	I-ARGUMENTATIVE
of	I-ARGUMENTATIVE
the	I-ARGUMENTATIVE
Pacific	I-ARGUMENTATIVE
without	I-ARGUMENTATIVE
seeing	I-ARGUMENTATIVE
before	I-ARGUMENTATIVE
me	I-ARGUMENTATIVE
Mrs.	I-ARGUMENTATIVE
Coxe	I-ARGUMENTATIVE
's	I-ARGUMENTATIVE
agonized	I-ARGUMENTATIVE
face	I-ARGUMENTATIVE
.	I-ARGUMENTATIVE

Remembering	B-NARRATIVE
that	I-NARRATIVE
there	I-NARRATIVE
lay	I-NARRATIVE
before	I-NARRATIVE
us	I-NARRATIVE
a	I-NARRATIVE
long	I-NARRATIVE
stretch	I-NARRATIVE
of	I-NARRATIVE
road	I-NARRATIVE
overhanging	I-NARRATIVE
a	I-NARRATIVE
sharp	I-NARRATIVE
declivity	I-NARRATIVE
,	I-NARRATIVE

Zelphine	B-NARRATIVE
and	I-NARRATIVE
I	I-NARRATIVE
made	I-NARRATIVE
a	I-NARRATIVE
desperate	I-NARRATIVE
attempt	I-NARRATIVE

to	B-NARRATIVE
stop	I-NARRATIVE
our	I-NARRATIVE
hilarious	I-NARRATIVE
vetturino	I-NARRATIVE
in	I-NARRATIVE
his	I-NARRATIVE
mad	I-NARRATIVE
career	I-NARRATIVE
.	I-NARRATIVE

Finding	B-NARRATIVE
that	I-NARRATIVE
our	I-NARRATIVE
remonstrances	I-NARRATIVE
excited	I-NARRATIVE
him	I-NARRATIVE
to	I-NARRATIVE
more	I-NARRATIVE
strenuous	I-NARRATIVE
exertions	I-NARRATIVE
,	I-NARRATIVE

Zelphine	B-NARRATIVE
tried	I-NARRATIVE
the	I-NARRATIVE
effect	I-NARRATIVE
of	I-NARRATIVE
her	I-NARRATIVE
few	I-NARRATIVE
available	I-NARRATIVE
words	I-NARRATIVE
and	I-NARRATIVE
many	I-NARRATIVE
eloquent	I-NARRATIVE
gestures	I-NARRATIVE
upon	I-NARRATIVE
the	I-NARRATIVE
small	I-NARRATIVE
boy	I-NARRATIVE
,	I-NARRATIVE

urging	B-NARRATIVE
him	I-NARRATIVE

to	B-NARRATIVE
make	I-NARRATIVE
his	I-NARRATIVE
brother	I-NARRATIVE
drive	I-NARRATIVE
more	I-NARRATIVE
carefully	I-NARRATIVE
,	I-NARRATIVE

telling	B-NARRATIVE
him	I-NARRATIVE

that	B-NARRATIVE
the	I-NARRATIVE
old	I-NARRATIVE
lady	I-NARRATIVE
of	I-NARRATIVE
the	I-NARRATIVE
party	I-NARRATIVE
was	I-NARRATIVE
very	I-NARRATIVE
much	I-NARRATIVE
alarmed	I-NARRATIVE
,	I-NARRATIVE

and	B-NARRATIVE
advising	I-NARRATIVE
him	I-NARRATIVE

to	B-NARRATIVE
get	I-NARRATIVE
the	I-NARRATIVE
whip	I-NARRATIVE
into	I-NARRATIVE
his	I-NARRATIVE
own	I-NARRATIVE
hands	I-NARRATIVE
.	I-NARRATIVE

This	B-NARRATIVE
,	I-NARRATIVE
however	I-NARRATIVE
,	I-NARRATIVE
proved	I-NARRATIVE

to	B-NARRATIVE
be	I-NARRATIVE
impossible	I-NARRATIVE
;	I-NARRATIVE

the	B-NARRATIVE
boy	I-NARRATIVE
,	I-NARRATIVE

well	B-NARRATIVE
frightened	I-NARRATIVE
himself	I-NARRATIVE
by	I-NARRATIVE
this	I-NARRATIVE
time	I-NARRATIVE
,	I-NARRATIVE

only	I-NARRATIVE
succeeded	I-NARRATIVE
in	I-NARRATIVE
getting	I-NARRATIVE
hard	I-NARRATIVE
words	I-NARRATIVE
and	I-NARRATIVE
a	I-NARRATIVE
shaking	I-NARRATIVE
.	I-NARRATIVE

Give	B-OTHER
up	I-OTHER
his	I-OTHER
whip	I-OTHER
!	I-OTHER

Not	B-OTHER
he	I-OTHER
.	I-OTHER

As	B-OTHER
well	I-OTHER
ask	I-OTHER
a	I-OTHER
soldier	I-OTHER

to	B-OTHER
lay	I-OTHER
down	I-OTHER
his	I-OTHER
arms	I-OTHER
.	I-OTHER

The	B-ARGUMENTATIVE
whip	I-ARGUMENTATIVE
was	I-ARGUMENTATIVE
his	I-ARGUMENTATIVE
pride	I-ARGUMENTATIVE
and	I-ARGUMENTATIVE
joy	I-ARGUMENTATIVE
,	I-ARGUMENTATIVE
his	I-ARGUMENTATIVE
pièce	I-ARGUMENTATIVE
de	I-ARGUMENTATIVE
résistance	I-ARGUMENTATIVE
,	I-ARGUMENTATIVE

so	B-OTHER
to	I-OTHER
speak	I-OTHER
,	I-OTHER

with	B-ARGUMENTATIVE
which	I-ARGUMENTATIVE
he	I-ARGUMENTATIVE
awoke	I-ARGUMENTATIVE
the	I-ARGUMENTATIVE
echoes	I-ARGUMENTATIVE
of	I-ARGUMENTATIVE
these	I-ARGUMENTATIVE
slumbering	I-ARGUMENTATIVE
old	I-ARGUMENTATIVE
Italian	I-ARGUMENTATIVE
towns	I-ARGUMENTATIVE
,	I-ARGUMENTATIVE

bringing	B-ARGUMENTATIVE
the	I-ARGUMENTATIVE
inhabitants	I-ARGUMENTATIVE
,	I-ARGUMENTATIVE
men	I-ARGUMENTATIVE
,	I-ARGUMENTATIVE
women	I-ARGUMENTATIVE
,	I-ARGUMENTATIVE
children	I-ARGUMENTATIVE
,	I-ARGUMENTATIVE
cats	I-ARGUMENTATIVE
,	I-ARGUMENTATIVE
dogs	I-ARGUMENTATIVE
,	I-ARGUMENTATIVE
and	I-ARGUMENTATIVE
chickens	I-ARGUMENTATIVE
,	I-ARGUMENTATIVE
to	I-ARGUMENTATIVE
the	I-ARGUMENTATIVE
sidewalk	I-ARGUMENTATIVE

to	B-ARGUMENTATIVE
witness	I-ARGUMENTATIVE
our	I-ARGUMENTATIVE
rapid	I-ARGUMENTATIVE
transit	I-ARGUMENTATIVE
.	I-ARGUMENTATIVE

Even	B-ARGUMENTATIVE
those	I-ARGUMENTATIVE
among	I-ARGUMENTATIVE
our	I-ARGUMENTATIVE
own	I-ARGUMENTATIVE
countrymen	I-ARGUMENTATIVE
who	I-ARGUMENTATIVE
pride	I-ARGUMENTATIVE
themselves	I-ARGUMENTATIVE
most	I-ARGUMENTATIVE
upon	I-ARGUMENTATIVE
their	I-ARGUMENTATIVE
skill	I-ARGUMENTATIVE
in	I-ARGUMENTATIVE
annihilating	I-ARGUMENTATIVE
space	I-ARGUMENTATIVE

could	B-ARGUMENTATIVE
not	I-ARGUMENTATIVE
have	I-ARGUMENTATIVE
made	I-ARGUMENTATIVE
better	I-ARGUMENTATIVE
time	I-ARGUMENTATIVE

than	B-ARGUMENTATIVE
we	I-ARGUMENTATIVE
did	I-ARGUMENTATIVE

as	B-ARGUMENTATIVE
we	I-ARGUMENTATIVE
rattled	I-ARGUMENTATIVE
over	I-ARGUMENTATIVE
that	I-ARGUMENTATIVE
Calabrian	I-ARGUMENTATIVE
highway	I-ARGUMENTATIVE
.	I-ARGUMENTATIVE

Fortunately	B-NARRATIVE
,	I-NARRATIVE
the	I-NARRATIVE
horses	I-NARRATIVE
were	I-NARRATIVE
well-trained	I-NARRATIVE
and	I-NARRATIVE
steady	I-NARRATIVE
enough	I-NARRATIVE

to	B-NARRATIVE
balance	I-NARRATIVE
the	I-NARRATIVE
driver	I-NARRATIVE
's	I-NARRATIVE
eccentricities	I-NARRATIVE
.	I-NARRATIVE

Perhaps	B-NARRATIVE
they	I-NARRATIVE
were	I-NARRATIVE
accustomed	I-NARRATIVE
to	I-NARRATIVE
them	I-NARRATIVE
by	I-NARRATIVE
long	I-NARRATIVE
experience	I-NARRATIVE
.	I-NARRATIVE

Be	B-OTHER
this	I-OTHER
as	I-OTHER
it	I-OTHER
may	I-OTHER
,	I-OTHER

we	B-NARRATIVE
proceeded	I-NARRATIVE
on	I-NARRATIVE
our	I-NARRATIVE
way	I-NARRATIVE
without	I-NARRATIVE
any	I-NARRATIVE
accident	I-NARRATIVE
,	I-NARRATIVE

passing	B-NARRATIVE
the	I-NARRATIVE
dangerous	I-NARRATIVE
part	I-NARRATIVE
of	I-NARRATIVE
the	I-NARRATIVE
road	I-NARRATIVE

before	B-NARRATIVE
darkness	I-NARRATIVE
overtook	I-NARRATIVE
us	I-NARRATIVE
.	I-NARRATIVE

We	B-NARRATIVE
clattered	I-NARRATIVE
through	I-NARRATIVE
Salerno	I-NARRATIVE
at	I-NARRATIVE
a	I-NARRATIVE
tearing	I-NARRATIVE
gallop	I-NARRATIVE
,	I-NARRATIVE

and	B-NARRATIVE
as	I-NARRATIVE
we	I-NARRATIVE
neared	I-NARRATIVE
La	I-NARRATIVE
Cava	I-NARRATIVE
the	I-NARRATIVE
whip-cracking	I-NARRATIVE
was	I-NARRATIVE
resumed	I-NARRATIVE
with	I-NARRATIVE
renewed	I-NARRATIVE
vigor	I-NARRATIVE
,	I-NARRATIVE

bringing	B-NARRATIVE
the	I-NARRATIVE
citizens	I-NARRATIVE
to	I-NARRATIVE
their	I-NARRATIVE
doors	I-NARRATIVE
and	I-NARRATIVE
windows	I-NARRATIVE
.	I-NARRATIVE

Some	B-NARRATIVE
of	I-NARRATIVE
them	I-NARRATIVE
,	I-NARRATIVE
indeed	I-NARRATIVE
,	I-NARRATIVE
followed	I-NARRATIVE
the	I-NARRATIVE
carriage	I-NARRATIVE
,	I-NARRATIVE

crying	B-NARRATIVE
out	I-NARRATIVE
,	I-NARRATIVE

"	B-OTHER
Prima	I-OTHER
donna	I-OTHER
!	I-OTHER

Prima	B-OTHER
donna	I-OTHER
!	I-OTHER
"	I-OTHER

"	B-OTHER
What	I-OTHER
can	I-OTHER
they	I-OTHER
mean	I-OTHER
?	I-OTHER
"	I-OTHER

asked	B-NARRATIVE
Mrs.	I-NARRATIVE
Coxe	I-NARRATIVE
,	I-NARRATIVE

looking	B-NARRATIVE

as	B-NARRATIVE
though	I-NARRATIVE
she	I-NARRATIVE
expected	I-NARRATIVE

to	B-NARRATIVE
be	I-NARRATIVE
attacked	I-NARRATIVE
by	I-NARRATIVE
a	I-NARRATIVE
furious	I-NARRATIVE
mob	I-NARRATIVE
.	I-NARRATIVE

Zelphine	B-NARRATIVE
reminded	I-NARRATIVE
her	I-NARRATIVE

that	B-NARRATIVE
as	I-NARRATIVE
we	I-NARRATIVE
drove	I-NARRATIVE
by	I-NARRATIVE
the	I-NARRATIVE
theatre	I-NARRATIVE
in	I-NARRATIVE
the	I-NARRATIVE
morning	I-NARRATIVE

we	B-NARRATIVE
had	I-NARRATIVE
noticed	I-NARRATIVE
a	I-NARRATIVE
poster	I-NARRATIVE

announcing	B-NARRATIVE

that	B-NARRATIVE
a	I-NARRATIVE
grand	I-NARRATIVE
opera	I-NARRATIVE
was	I-NARRATIVE

to	B-NARRATIVE
be	I-NARRATIVE
given	I-NARRATIVE
in	I-NARRATIVE
Cava	I-NARRATIVE
that	I-NARRATIVE
evening	I-NARRATIVE
.	I-NARRATIVE

In	B-NARRATIVE
our	I-NARRATIVE
gay	I-NARRATIVE
morning	I-NARRATIVE
spirits	I-NARRATIVE
we	I-NARRATIVE
had	I-NARRATIVE
even	I-NARRATIVE
thought	I-NARRATIVE

that	B-ARGUMENTATIVE
it	I-ARGUMENTATIVE
might	I-ARGUMENTATIVE
be	I-ARGUMENTATIVE
pleasant	I-ARGUMENTATIVE

to	B-NARRATIVE
assist	I-NARRATIVE
at	I-NARRATIVE
the	I-NARRATIVE
function	I-NARRATIVE
.	I-NARRATIVE

Now	B-ARGUMENTATIVE
the	I-ARGUMENTATIVE
most	I-ARGUMENTATIVE
that	I-ARGUMENTATIVE
we	I-ARGUMENTATIVE
dared	I-ARGUMENTATIVE

to	B-ARGUMENTATIVE
hope	I-ARGUMENTATIVE

was	B-ARGUMENTATIVE

that	B-ARGUMENTATIVE
we	I-ARGUMENTATIVE
might	I-ARGUMENTATIVE
reach	I-ARGUMENTATIVE
the	I-ARGUMENTATIVE
hotel	I-ARGUMENTATIVE
in	I-ARGUMENTATIVE
safety	I-ARGUMENTATIVE
.	I-ARGUMENTATIVE

Troops	B-NARRATIVE
of	I-NARRATIVE
children	I-NARRATIVE
ran	I-NARRATIVE
after	I-NARRATIVE
us	I-NARRATIVE
,	I-NARRATIVE

repeating	B-NARRATIVE
the	I-NARRATIVE
shout	I-NARRATIVE
of	I-NARRATIVE

"	B-OTHER
Prima	I-OTHER
donna	I-OTHER
!	I-OTHER

Prima	B-OTHER
donna	I-OTHER
!	I-OTHER
"	I-OTHER

"	B-ARGUMENTATIVE
We	I-ARGUMENTATIVE
are	I-ARGUMENTATIVE
honored	I-ARGUMENTATIVE

by	B-NARRATIVE
being	I-NARRATIVE
mistaken	I-NARRATIVE
for	I-NARRATIVE
a	I-NARRATIVE
part	I-NARRATIVE
of	I-NARRATIVE
the	I-NARRATIVE
opera	I-NARRATIVE
troupe	I-NARRATIVE
,	I-NARRATIVE
"	I-NARRATIVE

said	B-NARRATIVE
Zelphine	I-NARRATIVE
,	I-NARRATIVE

laughing	B-NARRATIVE
,	I-NARRATIVE

